Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,English speaking monolingual,Were you raised monolingual?,Bilingual,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65ec9cc1143b6e6919939b16,5bddf0f876219d00014b145e,AWAITING REVIEW,Not Applicable,2024-03-09T17:30:47.065000Z,2024-03-09T17:33:59.206000Z,,2024-03-09T17:34:00.093148Z,193.0,C1JQLVOG,595,I know one other language in addition to English,I was raised with two or more languages,native language + one other language,"English, Spanish",25,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
65ec9ccc9af9a0632ab42553,632b0d2e1276c0a0545e8465,AWAITING REVIEW,Not Applicable,2024-03-09T17:31:03.524000Z,2024-03-09T17:35:24.060000Z,,2024-03-09T17:35:24.693856Z,261.0,C1JQLVOG,176,I only know English,I was raised with my native language only,none just my native langauge,English,20,Female,White,United States,United Kingdom,United Kingdom,English,Yes,Other
65ec9cd7af64fbe6f03c796e,62b0573da90870095fbf3a4b,AWAITING REVIEW,Not Applicable,2024-03-09T17:31:05.259000Z,2024-03-09T17:34:25.525000Z,,2024-03-09T17:34:26.007699Z,201.0,C1JQLVOG,53,I know one other language in addition to English,I was raised with my native language only,native language + one other language,"English, French",21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
65ec9cdcf8c56b00f9281b4e,6400dc9a87b5f4d0c3604bf3,AWAITING REVIEW,Not Applicable,2024-03-09T17:31:20.061000Z,2024-03-09T17:37:32.063000Z,,2024-03-09T17:40:13.530398Z,373.0,C1JQLVOG,179,I only know English,I was raised with my native language only,none just my native langauge,English,21,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
65ec9d27674b598078220806,651eb46a5829664fed79fb1c,AWAITING REVIEW,Not Applicable,2024-03-09T17:32:23.413000Z,2024-03-09T17:36:00.793000Z,,2024-03-09T17:36:01.400663Z,218.0,C1JQLVOG,57,I know one other language in addition to English,I was raised with my native language only,native language + one other language,"English, French",22,Male,White,United States,Belgium,United States,English,Yes,Unemployed (and job seeking)
65ec9d469af9a0632ab42592,610e8e5f2e2fda31ca2868cb,AWAITING REVIEW,Not Applicable,2024-03-09T17:33:00.250000Z,2024-03-09T17:38:33.329000Z,,2024-03-09T17:40:33.871378Z,334.0,C1JQLVOG,99,I know one other language in addition to English,I was raised with two or more languages,native language + one other language,"English, Chinese",25,Female,Asian,Singapore,United Kingdom,Singapore,English,DATA_EXPIRED,DATA_EXPIRED
65ec9d780bbda5b4fb2821a4,5a462be0ee927b0001e1e38b,AWAITING REVIEW,Not Applicable,2024-03-09T17:33:56.094000Z,2024-03-09T17:38:29.162000Z,,2024-03-09T17:40:32.336200Z,274.0,C1JQLVOG,664,I only know English,I was raised with my native language only,none just my native langauge,English,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ec9dd29af9a0632ab425c1,5b4ce4c8aad40700014ac066,AWAITING REVIEW,Not Applicable,2024-03-09T17:39:29.601000Z,2024-03-09T17:49:17.476000Z,,2024-03-09T17:49:17.967866Z,588.0,C1JQLVOG,199,I only know English,I was raised with my native language only,none just my native langauge,English,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ec9dd7fd7dc8db7ef6d6c3,542c42adfdf99b324ea38090,AWAITING REVIEW,Not Applicable,2024-03-09T17:35:24.631000Z,2024-03-09T17:41:19.617000Z,,2024-03-09T17:41:20.047360Z,355.0,C1JQLVOG,960,I only know English,I was raised with my native language only,none just my native langauge,English,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65ec9e0d8a52177011b6ae27,65e8e7d197c4e0f0b1f8682c,AWAITING REVIEW,Not Applicable,2024-03-09T17:36:35.948000Z,2024-03-09T17:40:39.768000Z,,2024-03-09T17:40:57.255867Z,244.0,C1JQLVOG,0,I only know English,I was raised with my native language only,none just my native langauge,English,53,Female,White,United States,United States,United States,English,No,Full-Time
65ec9e26d17e592bbc5ac787,65e84afd32bd807597da4138,AWAITING REVIEW,Not Applicable,2024-03-09T17:38:05.703000Z,2024-03-09T17:44:52.222000Z,,2024-03-09T17:44:52.734273Z,407.0,C1JQLVOG,1,I know 2 or more languages in addition to English,I was raised with two or more languages,native language + one other language,English,30,Female,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
65ec9e539f7f9ce835aace6d,5f6f6b14500db14f7762f6b4,AWAITING REVIEW,Not Applicable,2024-03-09T17:37:26.968000Z,2024-03-09T17:41:32.400000Z,,2024-03-09T17:41:34.141345Z,246.0,C1JQLVOG,734,I only know English,I was raised with my native language only,none just my native langauge,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ec9e7708c1ca0e40691f46,5dc1978fdbf8200fe9537083,AWAITING REVIEW,Not Applicable,2024-03-09T17:38:04.619000Z,2024-03-09T17:47:03.157000Z,,2024-03-09T17:47:03.753640Z,539.0,C1JQLVOG,555,I only know English,I was raised with my native language only,none just my native langauge,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
65ec9e80c8e8f2adb9b2432c,5f079536db2246057cc1109c,AWAITING REVIEW,Not Applicable,2024-03-09T17:38:14.403000Z,2024-03-09T17:45:19.325000Z,,2024-03-09T17:45:19.964491Z,425.0,C1JQLVOG,1032,I only know English,I was raised with my native language only,none just my native langauge,English,29,Female,Black,United States,United States,United States,English,No,Full-Time
65ec9e9daf64fbe6f03c7a0c,5fec50bdfd62fbd52d267e70,AWAITING REVIEW,Not Applicable,2024-03-09T17:38:43.285000Z,2024-03-09T17:43:21.508000Z,,2024-03-09T17:43:21.990488Z,279.0,C1JQLVOG,56,I only know English,I was raised with my native language only,none just my native langauge,English,45,Female,White,Ireland,Ireland,Ireland,English,No,Full-Time
65ec9ec3351767d75ba7536b,59e90628c0d35a00012953a7,AWAITING REVIEW,Not Applicable,2024-03-09T17:39:21.675000Z,2024-03-09T17:43:06.560000Z,,2024-03-09T17:43:06.944845Z,225.0,C1JQLVOG,615,I only know English,I was raised with my native language only,none just my native langauge,English,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ec9ec76520f93196328142,5eee3a22ddae2c2b35f2f548,AWAITING REVIEW,Not Applicable,2024-03-09T17:39:46.905000Z,2024-03-09T17:44:33.531000Z,,2024-03-09T17:44:34.127249Z,287.0,C1JQLVOG,559,I only know English,I was raised with my native language only,none just my native langauge,English,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ec9ee0232fc43a4b717cc1,645df5da6a7ba0101a3a2a95,AWAITING REVIEW,Not Applicable,2024-03-09T17:40:24.917000Z,2024-03-09T17:49:41.896000Z,,2024-03-09T17:49:42.518210Z,557.0,C1JQLVOG,441,I only know English,I was raised with my native language only,none just my native langauge,English,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ec9f048546f2687b1cebd1,5f63dc32e5a9ed155d89bdeb,AWAITING REVIEW,Not Applicable,2024-03-09T17:40:23.937000Z,2024-03-09T17:44:33.651000Z,,2024-03-09T17:44:34.122721Z,250.0,C1JQLVOG,387,I know one other language in addition to English,I was raised with my native language only,native language + one other language,"English, French",29,Female,White,United States,France,United States,English,No,Unemployed (and job seeking)
65ec9f098a52177011b6ae6c,60a686fa1cec4afd7a8d0b40,AWAITING REVIEW,Not Applicable,2024-03-09T17:40:46.156000Z,2024-03-09T17:46:55.869000Z,,2024-03-09T17:46:56.552970Z,370.0,C1JQLVOG,615,I only know English,I was raised with my native language only,none just my native langauge,English,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ec9f1b701f04e9cfff8269,64a0518dccfb4e783d105d78,AWAITING REVIEW,Not Applicable,2024-03-09T17:40:50.284000Z,2024-03-09T17:47:32.036000Z,,2024-03-09T17:47:32.598655Z,402.0,C1JQLVOG,360,I only know English,I was raised with my native language only,none just my native langauge,English,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65ec9f389fde4bff76df9955,5ef09837e45c1f27cf7b497e,AWAITING REVIEW,Not Applicable,2024-03-09T17:41:20.291000Z,2024-03-09T18:02:26.255000Z,,2024-03-09T18:07:56.901685Z,1266.0,C1JQLVOG,142,I only know English,I was raised with my native language only,none just my native langauge,English,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
65ec9f46691084489f628e75,60df4f18d8c7ec5deabb857e,AWAITING REVIEW,Not Applicable,2024-03-09T17:41:29.689000Z,2024-03-09T17:46:32.067000Z,,2024-03-09T17:46:32.633626Z,303.0,C1JQLVOG,320,I only know English,I was raised with my native language only,none just my native langauge,English,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ec9f4e9f7f9ce835aacebd,5c40dea5f374a90001622c8e,AWAITING REVIEW,Not Applicable,2024-03-09T17:41:41.043000Z,2024-03-09T17:45:22.060000Z,,2024-03-09T17:45:22.730140Z,222.0,C1JQLVOG,906,I only know English,I was raised with my native language only,none just my native langauge,English,21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
65ec9f4ee82ba125b35ff49b,5d4ee3b9f86d5f001d1fde7f,AWAITING REVIEW,Not Applicable,2024-03-09T17:41:40.819000Z,2024-03-09T17:45:42.316000Z,,2024-03-09T17:45:42.831466Z,242.0,C1JQLVOG,343,I only know English,I was raised with my native language only,none just my native langauge,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
65ec9f58abc1df34e678b346,5c5a30b48348b50001fcac4a,AWAITING REVIEW,Not Applicable,2024-03-09T17:41:47.512000Z,2024-03-09T17:46:13.817000Z,,2024-03-09T17:46:14.517300Z,267.0,C1JQLVOG,315,I know one other language in addition to English,I was raised with two or more languages,native language + one other language,"English, Urdu",25,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
65ec9f7080fac1f9215ff92e,6483247637d20bcecd41963b,AWAITING REVIEW,Not Applicable,2024-03-09T17:43:01.028000Z,2024-03-09T17:56:36.797000Z,,2024-03-09T17:56:48.525389Z,816.0,C1JQLVOG,224,I only know English,I was raised with my native language only,none just my native langauge,English,52,Male,White,United Kingdom,Ireland,Ireland,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
